run_name,run_id,status,learning_rate,max_depth,n_estimators,scale_pos_weight,accuracy,precision,recall,f1,roc_auc,recall_at_20pct,lift_at_20pct,class_weight,C,strategy
xgboost,8885f093681044d68bf3c849194d842f,FINISHED,0.05,4,200,1,0.7948507258285401,0.5185185185185185,0.018666666666666668,0.036036036036036036,0.5958674020452717,0.312,1.558292749658003,,,
random_forest,73fbb32b43af4ade866973e47b945f3c,FINISHED,,10,400,,0.7945768282662284,0.0,0.0,0.0,0.5882408364931633,0.288,1.4384240766073872,None,,
logistic_regression,7f7b6cc31aea435fa5c1691797f3a13b,FINISHED,,,,,0.7962202136400987,0.56,0.037333333333333336,0.07,0.5912719751809721,0.30666666666666664,1.5316552667578662,None,0.01,
baseline_majority_class,7f00319e8a4d48d4b2be84558320680f,FINISHED,,,,,0.7945768282662284,0.0,0.0,0.0,0.5,,,,,most_frequent
